ID,chemIndex,porosity,freq,amp,initialStrain,initialStress,intervalCode,cycle,stiffness,stiffnessROC,damping,dampingROC,NVP
166,3,high,9.9928571428571438,7.8057613088793984E-2,-0.52756141519875499,-25.208576638625807,G,3000,0.260310708794064,-5.0285139100530455e-6,0.4056279106129961,1.217236268886701e-6,2.0131366721301585
106,1,low,0.5,2.4128849143440812E-2,-0.2913375226002326,-62.799569925656819,H,8000,0.5221802718600222,3.0765205181482183e-7,-6.039381220799495,-5.267632869312422e-7,1.495408073525015
115,1,low,0.5,2.461566240160673E-2,-0.2913358267120093,-59.240175726957808,H,8000,0.4665625636621793,1.7797939064842504e-6,-6.04251121301017,6.939604023781243e-7,1.4561776314469859
116,1,low,10,2.3821421721616297E-2,-0.29134057453917039,-62.451156282278447,H,8000,0.5501112964902151,-1.52385013844758e-6,0.721798611818369,-4.406849979789129e-6,1.537652752627231
117,1,low,5,2.5272102221972091E-2,-0.29134028378272486,-62.471672978966268,H,8000,0.6140989712181887,5.473088745124755e-6,0.5107001269752431,-2.892024465753096e-6,1.5537920670980339
119,1,low,2,2.5382086905547281E-2,-0.29133856940915154,-61.845186771667528,H,8000,0.556196351163909,4.0524892614202114e-7,-5.910676569467789,3.1576451659534045e-6,1.6303727897914297
137,1,low,14.995652173913042,2.2337381035514036E-2,-0.29133121992185868,-58.836185088457398,H,4000,0.43594172305103146,-9.985915754036069e-7,0.9303244489735589,-4.147584276257277e-7,1.5068195708144787
139,1,low,0.5,2.4281769732657284E-2,-0.69291295559246502,-56.673020726236999,H,4000,-0.4267773300759193,-7.633850994551716e-7,-2.901834865540518,-1.6993397764495378e-6,1.5192119578674601
140,1,low,15.002564102564103,1.4673231262834157E-2,-0.2913399411996892,-60.168816557692132,H,4000,0.4585784672263156,6.178173915905027e-8,0.9204403133612991,-3.472005712463755e-7,1.4859125504040509
144,1,low,2,2.5744210366941581E-2,-0.29133741391286039,-57.720437924635853,H,4000,0.4745757175538065,-1.6806879165661147e-6,-5.927351477996909,-6.470653146895877e-6,1.8032969655556732
146,1,low,15,2.2408634659225365E-2,-0.29143764479162365,-61.767442515413371,H,4000,0.43561395702000705,-3.607025464512081e-7,0.9267464599247128,-5.579296212403495e-7,1.5427687365426086
167,1,low,10,7.801228054574684E-2,-0.29130418402857716,-70.557869817436028,H,4000,0.40337574268803444,-2.187570432013786e-6,0.743962142805489,-6.394165506460325e-7,1.7064773305548047
104,1,high,0.5,2.4152293346591594E-2,-0.52755769422532572,-6.8013223668039462,H,8000,0.06337435024410286,4.025996536092813e-7,-6.00707297069763,-3.29653148652298e-7,1.5352740710131574
113,1,high,0.5,2.4258753733764193E-2,-0.52755998521085357,-5.40974125626341,H,8000,0.051360617945049786,2.7739655583327446e-7,-5.895037799962521,9.078756300446856e-7,1.6449147631971264
114,1,high,0.5,2.4300551446183816E-2,-0.44881906066950328,-4.238312376470029,H,8000,0.038715350610399366,2.0302496946033448e-7,-5.931364984757858,-7.395423352338781e-7,1.5231620609839569
120,1,high,2,2.4319551746456163E-2,-0.44881966137082407,-4.683026855760013,H,8000,0.04204063895705479,1.1654852294341878e-7,-5.805845801888538,-7.84776433872203e-7,1.6310829910264868
123,1,high,10,2.3155500796167072E-2,-0.52756846100808852,-5.730141348165807,H,8000,0.1153796421384982,-7.763923643447357e-8,0.4934170835080858,1.924788049545434e-7,1.5086447629904578
124,1,high,5,2.4043844946017488E-2,-0.52756540793483053,-5.8597449459478606,H,8000,0.07950281073641428,-4.8470656020566106e-8,-5.5301330725756594,-8.045551867752465e-8,1.6608321621907858
131,1,high,2,2.4288179423705203E-2,-0.52755877026996834,-5.8932509077896755,H,8000,0.07229271201883063,-5.04372160326505e-8,-5.664869163719299,7.967225963056989e-8,1.6500560382047929
138,1,high,0.5,2.4139612236788142E-2,-0.45669205351708692,-6.0756811161405908,H,4000,-0.07515396174109432,-9.03566331277958e-7,-2.8785353257366793,-5.935338048859151e-7,1.5091451946682186
155,1,high,0.5,2.4770290556294913E-2,-0.45669222240591623,-7.6083469277822866,H,4000,-0.0965209402832522,2.410913196287945e-7,-2.8747069062042114,1.0319694674274071e-5,1.6627093494527938
107,2,low,0.5,2.4039107664406652E-2,-0.29133322325570032,-110.36201609756436,H,8000,1.1205206108511134,-1.1402534078910343e-5,-6.0508017947614725,-7.034215478043393e-7,1.4802072518865066
118,2,low,0.29999999999999993,2.4718528557623479E-2,-0.29133607283822832,-99.292455569186998,H,8000,1.0334938832111809,1.0418879450811769e-5,-6.0703289694861216,-6.544566639981042e-7,1.4865096162461742
125,2,low,10.007692307692308,2.3109187217787746E-2,-0.29135883272624691,-116.38172865434537,H,8000,1.2017494551519952,-1.4084317736342556e-6,0.6757354933325841,-3.2148085762351284e-7,1.5521193472675228
126,2,low,0.40000000000000008,2.4061549102421653E-2,-0.29133551917199146,-99.961184560208238,H,8000,0.979189652744049,1.5944209446566715e-6,-6.061215580567913,-6.508572518546529e-7,1.5115871851343246
154,2,low,0.5,2.4446100643851307E-2,-0.69291603183379524,-111.27783380790446,H,4000,-1.134933320804093,-6.435047202172361e-6,-2.9108062085696043,-8.605206512108943e-7,1.4889700718152632
105,2,high,0.5,2.4053768858335774E-2,-0.52755878135939549,-11.309205798293299,H,8000,0.11919435791069004,-3.4512895329633086e-7,-6.0171925405610285,-5.740896526944539e-7,1.5821833696066965
127,2,high,10,2.3120995267766595E-2,-0.52757893569880199,-11.286631204923472,H,8000,0.11106420925110178,-1.638769106834248e-7,0.8731959359559012,1.8358276552676855e-7,1.5878103559271772
150,2,high,15,7.5980023919371517E-2,-0.52758250913579996,-11.247552581452979,H,4000,0.06948539835579932,-4.368517248187764e-7,1.0972176303663748,-4.7450680819571823e-7,2.5172040220156982
151,2,high,14.996666666666666,2.2209895777175647E-2,-0.52757296345442162,-10.128652239928856,H,4000,0.06953897253104709,5.6495755854160666e-8,1.1439579886274909,-3.280532563247895e-7,1.515506596189506
152,2,high,15.00344827586207,4.6110984293437303E-2,-0.5275596302975889,-9.7568620078289872,H,4000,0.16084019123585072,-2.776161542135669e-7,0.450833404698725,2.7131788795031753e-7,1.6095114550718355
153,2,high,20,2.2590403908833941E-2,-0.52757513488626362,-10.21461550140822,H,4000,0.07017905463147632,4.823207471148922e-7,1.262893355206992,-9.323784344861252e-7,1.4562779835334112
156,2,high,0.5,2.4341741191036756E-2,-0.45669171449968832,-12.285923280013334,H,4000,-0.1582818898821486,-3.7392685241488534e-7,-2.9021885968423162,-2.816469287365564e-6,1.7191660363336698
109,3,low,0.5,2.4178551084111738E-2,-0.29133686826991273,-157.58113193542448,H,8000,2.9603649997126693,3.2924410066290654e-6,-6.0760341296195985,-3.993358617622178e-7,1.5456357139684822
111,3,low,0.5,2.4200331488404461E-2,-0.2913354684281298,-212.68782062723184,H,8000,2.950217529263528,3.8073284911677164e-6,-6.069967589881273,-6.691172364003961e-7,1.5247973315803158
