ID,chemIndex,porosity,freq,amp,initialStrain,initialStress,intervalCode,cycle,stiffnessFrac,dampingFrac,stiffness,damping,stiffnessROC,dampingROC,NVP
168,3,low,15.007142857142856,3.7859706656321261E-2,-0.2913529057324557,-240.18896722005104,B,250,0.9050641462229264,0.9831331694672985,3.407281120829032,0.25611760601012046,-0.0014296142151441877,-1.6798833669648516e-5,1.5892449744204693
103,3,high,0.5,2.4476333130798222E-2,-0.52755930951866969,-22.593622784915166,B,2000,0.9720472420442232,0.9101147646742295,0.30852388286596877,-6.060678631128823,-4.4360464431709715e-6,-0.003152168777345076,1.5741583265357684
108,3,high,10,2.3065943486435064E-2,-0.52756024422647796,-23.485219208487827,B,350,0.9631475811653026,1.01204441824053,0.43868588231555167,0.29793487907731286,-4.795774719147288e-5,9.551513021638845e-6,1.71785760999119
112,3,high,5,2.3964377933336459E-2,-0.52756223987618711,-19.879039773524777,B,2000,0.9411903840688021,0.9968796328362116,0.28974482200711194,0.3040297646488823,-9.052250208203327e-6,-4.469170702279257e-7,1.6634259014199162
142,3,high,0.5,2.4530083303194415E-2,-0.45669294622286438,-20.607753654852853,B,250,0.9468508671992463,0.98383949000727,0.28689142625432645,-2.8482689701946513,-6.441576405159566e-5,-0.02515090207250624,1.7349488618977482
148,3,high,15.001694915254237,2.2486050356579117E-2,-0.52755758950407772,-21.174834671245321,B,250,0.9644839014303928,1.0061545014166127,0.3843001148432672,0.3138667177312602,-5.660577947995904e-5,7.189186462411179e-6,1.5709054635815172
166,3,high,9.9928571428571438,7.8057613088793984E-2,-0.52756141519875499,-25.208576638625807,B,250,0.882625886597852,1.060880099885685,0.28735225773991663,0.3982046756908786,-1.5285169854391766e-4,8.27476303291652e-5,1.9351413751800477
106,1,low,0.5,2.4128849143440812E-2,-0.2913375226002326,-62.799569925656819,C,3000,1.0159863422174216,0.9236130026405709,0.5272636741935112,-6.0348753054818705,8.676486638484748e-7,-2.173469960404795e-6,1.4959541966994208
115,1,low,0.5,2.461566240160673E-2,-0.2913358267120093,-59.240175726957808,C,3000,1.0573908609740612,0.9449508222546277,0.45397792866704384,-6.030112284757266,7.338053901366159e-6,9.568607734934175e-6,1.6345685559195009
116,1,low,10,2.3821421721616297E-2,-0.29134057453917039,-62.451156282278447,C,3000,0.9814757578199071,1.0015450572129847,0.5545238061415114,0.7268232448045793,-2.6316893753676185e-6,-1.1394631059152616e-5,1.5614622026487743
117,1,low,5,2.5272102221972091E-2,-0.29134028378272486,-62.471672978966268,C,3000,0.9857493236257834,0.9909408826177731,0.6097750545252427,0.5134882258660776,1.6188512744894634e-6,1.742683120745836e-5,1.5690968819297324
119,1,low,2,2.5382086905547281E-2,-0.29133856940915154,-61.845186771667528,C,3000,0.9915414263868518,0.9478532853012697,0.5513813402989834,-5.912252368222748,-5.495660959961346e-6,4.261558522181907e-6,1.7313239429453495
137,1,low,14.995652173913042,2.2337381035514036E-2,-0.29133121992185868,-58.836185088457398,C,500,0.97492980430685106,1.0041544905915936,0.4450660310912444,0.9327326390417778,-1.1704366136795707e-5,-7.405213078754969e-7,1.5102992861759255
139,1,low,0.5,2.4281769732657284E-2,-0.69291295559246502,-56.673020726236999,C,500,0.9991820387442166,0.9530154634343626,0.42292777277737315,-2.8899811786273015,8.543365499191768e-7,-1.2567744007307979e-5,1.5646347538092507
140,1,low,15.002564102564103,1.4673231262834157E-2,-0.2913399411996892,-60.168816557692132,C,500,0.9893244098836785,0.9985360330705212,0.4599524734100502,0.9226284430739888,-4.707171395240017e-6,-9.637142832925605e-7,1.4831710203647162
144,1,low,2,2.5744210366941581E-2,-0.29133741391286039,-57.720437924635853,C,500,0.9892927679559029,0.984567252133979,0.47615326378691736,-5.916791186360525,-1.1523965066353448e-6,-1.099763292746303e-5,1.7136632196127157
146,1,low,15,2.2408634659225365E-2,-0.29143764479162365,-61.767442515413371,C,500,0.9770423010065369,1.0007164061076288,0.44207692597068965,0.9297602414864106,-1.0943498043457067e-5,-5.133151056826435e-7,1.5533505441202522
